PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NMRAL1_1Mwindow.wgt.RDat	NMRAL1	16	4011695	5026338	0.0280	rs7204987	 -8.13	rs12446765	-8.65e-04	-4.41	 1.311	412	  4	enet	0.0026	0.062	-1.293	1.96e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NPIPA5_1Mwindow.wgt.RDat	NPIPA5	16	14957481	15972151	0.0444	rs2966129	  3.91	rs3198697	 1.06e-03	 4.36	-0.789	219	219	blup	0.0042	0.024	 0.793	4.28e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PDIA2_1Mwindow.wgt.RDat	PDIA2	16	0	837215	0.0565	rs12447491	  4.98	rs2562178	-5.48e-04	 3.64	-0.598	305	  1	top1	-0.00055	0.49	-0.598	5.50e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CYLD_1Mwindow.wgt.RDat	CYLD	16	50275997	51335846	0.0319	rs11076545	 -3.95	rs4785412	-9.55e-04	 3.65	 2.034	448	448	blup	0.0059	0.0097	-0.789	4.30e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CNGB1_1Mwindow.wgt.RDat	CNGB1	16	57416244	58505032	0.0329	NA	    NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.13	9.7e-32	    NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PRSS36_1Mwindow.wgt.RDat	PRSS36	16	30650247	31661387	0.0168	rs4889490	 13.79	rs17708638	 3.37e-03	 3.99	-3.732	245	245	blup	0.0037	0.032	-7.499	6.45e-14
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CDK10_1Mwindow.wgt.RDat	CDK10	16	89253097	90262762	0.0430	rs3102368	  6.31	rs11538871	 2.04e-02	-5.00	-2.409	401	  1	top1	0.02	4.9e-06	 2.409	1.60e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MPHOSPH6_1Mwindow.wgt.RDat	MPHOSPH6	16	81681767	82703829	0.0357	rs4456499	 -4.64	rs2967379	 4.44e-03	 5.07	-1.150	710	710	blup	0.0048	0.017	-1.665	9.59e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PDXDC1_1Mwindow.wgt.RDat	PDXDC1	16	14568592	15733267	0.0228	rs2966129	  3.91	rs2280018	-9.88e-04	-3.53	 3.175	133	133	blup	0.002	0.086	-2.666	7.69e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.HAGH_1Mwindow.wgt.RDat	HAGH	16	1357630	2377195	0.0252	rs7199342	 -4.31	rs9806826	 1.38e-02	 4.78	 1.372	432	  1	top1	0.014	0.00015	 1.372	1.70e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.BOLA2_1Mwindow.wgt.RDat	BOLA2	16	28964909	29966285	0.0199	rs889688	  6.81	rs9936474	 4.91e-03	 3.89	 5.358	148	148	blup	0.0072	0.0048	 5.060	4.19e-07
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SGF29_1Mwindow.wgt.RDat	SGF29	16	28065241	29103111	0.0138	rs11861891	 -5.88	rs151228	 1.90e-02	-3.96	-1.058	181	  1	top1	0.019	9.8e-06	 1.058	2.90e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NPIPB2_1Mwindow.wgt.RDat	NPIPB2	16	11521120	12570500	0.0531	rs7198817	 -3.69	rs8050827	 3.15e-02	 6.04	 0.842	471	  1	top1	0.032	1.6e-08	 0.842	4.00e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RHBDL1_1Mwindow.wgt.RDat	RHBDL1	16	225671	1228268	0.0382	rs12447491	  4.98	rs4984906	 2.96e-02	-5.47	 1.126	371	  1	top1	0.03	4.4e-08	-1.126	2.60e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SETD6_1Mwindow.wgt.RDat	SETD6	16	58049383	59057746	0.0536	rs42944	  3.08	rs9926577	 7.93e-03	-4.40	 2.014	452	452	blup	0.022	1.9e-06	-1.653	9.83e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TMEM204_1Mwindow.wgt.RDat	TMEM204	16	1078679	2105569	0.0284	rs7199342	 -4.31	rs8048206	 2.38e-02	 5.31	-1.058	453	  1	top1	0.024	8.5e-07	-1.058	2.90e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPL13_1Mwindow.wgt.RDat	RPL13	16	89127065	90133237	0.0561	NA	    NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.037	1.1e-09	    NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.IL32_1Mwindow.wgt.RDat	IL32	16	2615404	3619531	0.3014	rs35402060	 -5.24	rs4786377	 1.28e-01	 9.37	-0.954	330	  1	enet	0.21	1.6e-51	-3.048	2.30e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NIP7_1Mwindow.wgt.RDat	NIP7	16	68873675	69877009	0.0258	rs1800566	  4.05	rs2288039	 2.75e-03	-4.33	 1.951	294	294	blup	0.013	0.00023	-1.207	2.27e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC22A31_1Mwindow.wgt.RDat	SLC22A31	16	88762169	89768086	0.0316	rs2608604	  9.98	rs9933428	 5.07e-03	 4.02	 1.598	407	407	blup	0.0069	0.0057	 0.326	7.44e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZNF267_1Mwindow.wgt.RDat	ZNF267	16	31385128	32428678	0.0140	rs9935222	 -5.12	rs6565237	-7.78e-04	-3.52	-3.330	135	135	blup	0.0074	0.0043	 3.574	3.52e-04
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TEPP_1Mwindow.wgt.RDat	TEPP	16	57510448	58522020	0.0777	rs8050713	  3.26	rs9934227	 1.22e-03	-4.21	 0.075	519	  7	enet	0.032	1.5e-08	 1.805	7.11e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ERVK13-1_1Mwindow.wgt.RDat	ERVK13-1	16	2208390	3223440	0.0278	rs8064223	  3.40	rs11642783	 1.29e-03	 3.74	-2.605	257	257	blup	0.0089	0.002	 0.816	4.15e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TUFM_1Mwindow.wgt.RDat	TUFM	16	28353732	29357669	0.0405	rs889688	  6.81	rs8049439	 6.74e-02	 8.65	-2.737	167	  1	top1	0.067	1.4e-16	-2.737	6.20e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.C16orf54_1Mwindow.wgt.RDat	C16orf54	16	29253784	30257311	0.0312	rs7204270	-12.60	rs7205278	 1.91e-02	 4.75	-1.665	164	  1	top1	0.019	9.7e-06	-1.665	9.59e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TSC2_1Mwindow.wgt.RDat	TSC2	16	1597986	2639492	0.0382	rs7199342	 -4.31	rs17653749	-1.03e-03	-2.93	 0.722	341	341	blup	0.0057	0.011	-1.747	8.07e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KIAA0513_1Mwindow.wgt.RDat	KIAA0513	16	84561401	85627836	0.0358	rs247826	 14.53	rs11642445	 2.85e-03	 4.63	-0.332	602	602	blup	0.0099	0.0011	-0.640	5.22e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZKSCAN2-DT_1Mwindow.wgt.RDat	ZKSCAN2-DT	16	24768898	25772387	0.0253	rs2188342	  2.72	rs4787730	 1.01e-02	 4.24	 2.669	397	397	blup	0.012	0.00048	 0.857	3.91e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MT1E_1Mwindow.wgt.RDat	MT1E	16	56159693	57161024	0.0813	rs7192652	-10.48	rs2291957	 5.09e-02	-5.16	-0.974	521	  1	top1	0.051	7.4e-13	 0.974	3.30e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PGAP6_1Mwindow.wgt.RDat	PGAP6	16	0	931978	0.1705	rs12447491	  4.98	rs540	 1.97e-01	12.28	-0.100	327	  4	enet	0.2	3.1e-49	-0.736	4.62e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PRKCB_1Mwindow.wgt.RDat	PRKCB	16	23347304	24731932	0.2124	rs16973189	 -6.50	rs16973189	 1.71e-01	12.28	-6.504	615	  1	top1	0.17	1.9e-41	-6.504	7.82e-11
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPS2_1Mwindow.wgt.RDat	RPS2	16	1512059	2514827	0.1041	rs7199342	 -4.31	rs17602	 6.22e-02	 8.24	 0.240	391	  1	enet	0.071	2e-17	 0.025	9.80e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CDR2_1Mwindow.wgt.RDat	CDR2	16	21857257	22885940	0.0504	rs11647526	 -2.65	rs13338319	 1.19e-03	-3.86	 0.385	165	165	blup	0.02	4.7e-06	-1.015	3.10e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NPIPA1_1Mwindow.wgt.RDat	NPIPA1	16	14531300	15545913	0.0559	rs2966129	  3.91	rs3751877	 1.22e-02	 5.25	-3.090	 98	  5	enet	0.018	2.1e-05	 0.388	6.98e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ATP2C2_1Mwindow.wgt.RDat	ATP2C2	16	83902144	84997793	0.0472	rs247826	 14.53	rs747718	 2.27e-04	-4.03	-1.175	889	889	blup	0.0086	0.0022	 3.549	3.87e-04
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SULT1A2_1Mwindow.wgt.RDat	SULT1A2	16	28103264	29108371	0.2338	rs11861891	 -5.88	rs8052258	 1.02e-01	-2.41	-1.103	169	  1	top1	0.1	1.3e-24	 1.103	2.70e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC01570_1Mwindow.wgt.RDat	LINC01570	16	5151170	6166251	0.0695	rs2098078	 -3.06	rs12933988	-9.07e-04	 5.30	 0.772	645	645	blup	-3.9e-05	0.33	 1.339	1.80e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CENPN_1Mwindow.wgt.RDat	CENPN	16	80540819	81566712	0.0282	rs2549722	  5.25	rs12928638	 6.72e-03	 3.78	-0.974	636	  1	top1	0.0067	0.0061	-0.974	3.30e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.COX4I1_1Mwindow.wgt.RDat	COX4I1	16	85333301	86340674	0.0529	rs391023	 -5.41	rs7187622	-1.02e-03	-4.23	 1.774	603	603	blup	0.0025	0.063	-0.291	7.71e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZDHHC7_1Mwindow.wgt.RDat	ZDHHC7	16	84507781	85545141	0.0572	rs247826	 14.53	rs7191339	-8.97e-05	-3.54	 1.341	641	641	blup	0.019	9.2e-06	 2.593	9.52e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ATF7IP2_1Mwindow.wgt.RDat	ATF7IP2	16	9979918	11077495	0.0457	rs17229044	 -7.18	rs11645096	 3.36e-02	 6.30	 1.695	627	  1	top1	0.034	5.4e-09	 1.695	9.01e-02
