PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PREPL_1Mwindow.wgt.RDat	PREPL	2	44044746	45089001	0.0402	rs1377687	 3.29	rs17032022	-9.61e-04	 -3.50	 2.028	477	477	blup	0.0096	0.0019	-2.7282	0.00637
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.C2orf27A_1Mwindow.wgt.RDat	C2orf27A	2	131940072	133024977	0.0548	rs3882112	 1.73	rs4850224	 1.03e-02	  5.35	 0.071	 90	 90	blup	0.016	8.8e-05	-0.0665	0.94701
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.COL5A2_1Mwindow.wgt.RDat	COL5A2	2	189396624	190544487	0.0426	rs6434322	 3.05	rs6723725	-9.04e-04	  4.38	 2.023	340	340	blup	-2.7e-05	0.32	 2.6760	0.00745
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MEIS1-AS2_1Mwindow.wgt.RDat	MEIS1-AS2	2	66166219	67167462	0.0554	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.11	1.3e-24	     NA	     NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CYBRD1_1Mwindow.wgt.RDat	CYBRD1	2	171878743	172914639	0.1213	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.085	2.3e-19	     NA	     NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MARCO_1Mwindow.wgt.RDat	MARCO	2	119199770	120252236	0.0722	rs512681	-7.15	rs4491733	 6.93e-02	 -8.11	 1.645	549	  1	top1	0.069	5.4e-16	-1.6450	0.09997
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LINC02611_1Mwindow.wgt.RDat	LINC02611	2	98877526	99888361	0.0389	rs2174353	 3.12	rs995617	-5.65e-04	  4.38	 0.048	295	295	blup	0.0041	0.031	-0.0726	0.94216
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SLC38A11_1Mwindow.wgt.RDat	SLC38A11	2	165250864	166312035	0.0389	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	-0.0011	0.86	     NA	     NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PAX8-AS1_1Mwindow.wgt.RDat	PAX8-AS1	2	113493104	114524600	0.1303	rs12470990	-2.79	rs11123172	 1.34e-01	-11.12	-0.984	465	  1	top1	0.13	3.1e-30	 0.9840	0.32512
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ATIC_1Mwindow.wgt.RDat	ATIC	2	215676782	216714487	0.0325	rs1250255	 3.00	rs12997662	 2.22e-02	  4.28	 0.074	462	  1	top1	0.022	4.1e-06	 0.0740	0.94101
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.C2orf74_1Mwindow.wgt.RDat	C2orf74	2	60872251	61891963	0.0338	rs17010833	 3.28	rs1177303	 1.69e-02	  4.61	 1.975	320	  1	top1	0.017	5.2e-05	 1.9750	0.04827
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ANXA4_1Mwindow.wgt.RDat	ANXA4	2	69370940	70554244	0.1201	rs6759021	 3.08	rs722265	 9.22e-02	 -8.16	 0.409	382	  1	top1	0.092	6.3e-21	-0.4090	0.68254
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ACVR1C_1Mwindow.wgt.RDat	ACVR1C	2	157883279	158985376	0.8766	rs13406425	 2.90	rs6437119	-1.05e-03	  5.80	 1.599	315	 15	lasso	0.0059	0.012	 1.1517	0.24945
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ICA1L_1Mwindow.wgt.RDat	ICA1L	2	203137899	204236489	0.0367	rs7563319	-3.72	rs13432396	 2.35e-02	 -5.48	 1.653	267	  1	top1	0.024	2.2e-06	-1.6530	0.09833
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TSGA10_1Mwindow.wgt.RDat	TSGA10	2	99113724	100271429	0.0191	rs6753380	-2.87	rs7589893	 2.23e-04	 -4.18	 0.114	340	340	blup	0.004	0.032	 1.1818	0.23730
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.DIRC3-AS1_1Mwindow.wgt.RDat	DIRC3-AS1	2	217647456	218708927	0.0435	rs1583109	 3.67	rs10198784	-1.11e-03	  3.62	 0.528	530	  1	lasso	0.17	1.1e-38	 0.8500	0.39533
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.IL1RL2_1Mwindow.wgt.RDat	IL1RL2	2	102303433	103356462	0.0277	rs17027255	-3.17	rs11465732	-8.10e-04	  4.46	-3.028	563	563	blup	0.0075	0.0052	-1.3869	0.16548
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.BIN1_1Mwindow.wgt.RDat	BIN1	2	127305599	128364730	0.0989	rs6709337	 3.22	rs11678252	 7.58e-02	  8.25	-1.922	477	  1	top1	0.076	2.2e-17	-1.9220	0.05461
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ECEL1_1Mwindow.wgt.RDat	ECEL1	2	232844537	233852544	0.0331	rs283471	-2.66	rs11676320	-9.91e-04	  3.79	 1.393	410	410	blup	0.0011	0.16	 1.2770	0.20159
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LINC02610_1Mwindow.wgt.RDat	LINC02610	2	238633754	239640318	0.0368	rs6746771	 3.68	rs7572285	 3.46e-02	  5.80	 0.821	459	  1	top1	0.035	1.1e-08	 0.8210	0.41165
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LINC02579_1Mwindow.wgt.RDat	LINC02579	2	64334446	65343616	0.0890	rs17608651	-3.77	rs10496111	 8.19e-02	  4.40	-0.338	461	  1	top1	0.082	1.1e-18	-0.3380	0.73536
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NAGK_1Mwindow.wgt.RDat	NAGK	2	70795426	71806938	0.0291	rs3796098	-2.69	rs2287329	 1.17e-02	 -4.64	 0.719	524	  1	top1	0.012	0.00066	-0.7190	0.47214
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.RPL37A_1Mwindow.wgt.RDat	RPL37A	2	216863567	217868809	0.0336	rs3276	-3.71	rs16855901	-9.79e-04	 -3.56	 0.109	478	478	blup	0.00078	0.19	-1.5392	0.12374
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.THNSL2_1Mwindow.wgt.RDat	THNSL2	2	87969865	88986146	0.0395	rs11127085	 3.05	rs7581571	 2.14e-02	  4.47	 0.412	244	  1	top1	0.021	5.9e-06	 0.4120	0.68034
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ITGA6_1Mwindow.wgt.RDat	ITGA6	2	172792064	173871187	0.0535	rs13021092	 3.64	rs4972856	 3.16e-04	  3.94	-0.355	494	494	blup	0.0053	0.016	-0.4312	0.66633
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ACKR3_1Mwindow.wgt.RDat	ACKR3	2	236978468	237990997	0.0320	rs10198281	 3.90	rs11689136	 8.21e-04	  3.13	 1.805	424	424	blup	0.008	0.0041	-0.0233	0.98139
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.PNKD_1Mwindow.wgt.RDat	PNKD	2	218635242	219711516	0.0208	rs11676172	 3.23	rs4674257	 3.46e-03	  4.02	 0.565	440	440	blup	0.015	0.00011	 0.4351	0.66346
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CLEC4F_1Mwindow.wgt.RDat	CLEC4F	2	70535775	71547731	0.1615	rs3796098	-2.69	rs2863804	 1.38e-01	 11.40	-0.846	537	  1	top1	0.14	4.4e-31	-0.8460	0.39755
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ORMDL1_1Mwindow.wgt.RDat	ORMDL1	2	190128585	191149065	0.0346	rs10206154	-3.94	rs2351932	 2.32e-04	  3.40	 1.666	289	289	blup	0.004	0.031	 1.4527	0.14631
